,Time, thumbProximal_L_X, thumbProximal_L_Y, thumbProximal_L_Z, thumbDistal_L_X, thumbDistal_L_Y, thumbDistal_L_Z, thumbEF_L_X, thumbEF_L_Y, thumbEF_L_Z, indexProximal_L_X, indexProximal_L_Y, indexProximal_L_Z, indexMedial_L_X, indexMedial_L_Y, indexMedial_L_Z, indexDistal_L_X, indexDistal_L_Y, indexDistal_L_Z, indexEF_L_X, indexEF_L_Y, indexEF_L_Z, middleProximal_L_X, middleProximal_L_Y, middleProximal_L_Z, middleMedial_L_X, middleMedial_L_Y, middleMedial_L_Z, middleDistal_L_X, middleDistal_L_Y, middleDistal_L_Z, middleEF_L_X, middleEF_L_Y, middleEF_L_Z, ringProximal_L_X, ringProximal_L_Y, ringProximal_L_Z, ringMedial_L_X, ringMedial_L_Y, ringMedial_L_Z, ringDistal_L_X, ringDistal_L_Y, ringDistal_L_Z, ringEF_L_X, ringEF_L_Y, ringEF_L_Z, pinkyProximal_L_X, pinkyProximal_L_Y, pinkyProximal_L_Z, pinkyMedial_L_X, pinkyMedial_L_Y, pinkyMedial_L_Z, pinkyDistal_L_X, pinkyDistal_L_Y, pinkyDistal_L_Z, pinkyEF_L_X, pinkyEF_L_Y, pinkyEF_L_Z, palm_L_X, palm_L_Y, palm_L_Z, wrist_L_X, wrist_L_Y, wrist_L_Z, handBaseRadius_L_X, handBaseRadius_L_Y, handBaseRadius_L_Z, elbow_L_X, elbow_L_Y, elbow_L_Z, armFrontRadius_L_X, armFrontRadius_L_Y, armFrontRadius_L_Z, armFrontUlna_L_X, armFrontUlna_L_Y, armFrontUlna_L_Z, armBackLateral_L_X, armBackLateral_L_Y, armBackLateral_L_Z, armBackMedial_L_X, armBackMedial_L_Y, armBackMedial_L_Z
0,03:05:59.247 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,03:05:59.290 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,03:05:59.339 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,03:05:59.372 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,03:05:59.410 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,03:05:59.448 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,03:05:59.483 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,03:05:59.519 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,03:05:59.558 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,03:05:59.611 AM,0.0415206,-0.01711747,0.31288140000000003,0.01791712,-0.007117733,0.3063661,0.0003001289,-0.002868339,0.3074098,0.03883446,0.02198292,0.3425038,0.006670479,0.02355357,0.3339006,-0.00040536699999999996,0.0066243859999999995,0.3300768,0.002365764,-0.00631462,0.3293886,0.03875719,0.017121900000000002,0.3602495,0.0041389370000000005,0.009861588000000001,0.348105,0.005171115,-0.01070729,0.3402228,0.014024200000000002,-0.02208474,0.33808259999999996,0.04062722,0.007150963000000001,0.3762474,0.008692547,-0.0002046525,0.3649592,0.01117572,-0.01878127,0.35447059999999997,0.02080542,-0.028876299999999997,0.3505698,0.04071107,-0.005230531,0.389031,0.01554925,-0.007737964,0.378413,0.0168378,-0.01969072,0.3691768,0.02552859,-0.02882102,0.3647594,0.04854763,-0.001578003,0.3572778,0.09135152,-0.04620853,0.34803090000000003,0.0749561,-0.035260599999999996,0.3294477,0.266681,-0.1272235,0.2339735,0.09494975,-0.04048169,0.3274272,0.10528620000000001,-0.06003686,0.3572289,0.2615128,-0.11744589999999998,0.2190726,0.2718493,-0.1370011,0.2488743
10,03:05:59.655 AM,0.07056293,0.03153284,0.30718609999999996,0.05034597,0.04819159,0.3034461,0.03507343,0.05739461,0.3069073,0.08153929,0.07036315,0.3352348,0.04939266,0.07616071,0.3285455,0.04255458,0.05874853,0.32715459999999996,0.0465659,0.04613899,0.3280097,0.0810414,0.06671651,0.35326420000000003,0.04548077,0.06438501,0.34189359999999996,0.04530013,0.04286914,0.3369891,0.05439458,0.03147013,0.3371936,0.08059128,0.05751534,0.36982220000000005,0.04776172,0.05597566,0.35876820000000004,0.04880493,0.03603272,0.3508071,0.05847465,0.02531721,0.3494192,0.07745446,0.04646663,0.3834276,0.05236512,0.04946445,0.3727235,0.05228965,0.03612547,0.3654804,0.06031951,0.02557172,0.36372329999999997,0.08395525,0.04568328,0.3511705,0.1089752,-0.01137502,0.343711,0.09600237,0.0037360790000000002,0.32459990000000005,0.2407185,-0.1609963,0.24041220000000002,0.11372280000000001,-0.009488538000000001,0.3226334,0.1174019,-0.02822364,0.3544587,0.238879,-0.15162879999999998,0.2244995,0.242558,-0.17036389999999998,0.2563248
11,03:05:59.704 AM,0.09381776,0.056833400000000006,0.2961661,0.07716709,0.07688971,0.2916357,0.06380112,0.08883406,0.2945489,0.10992149999999999,0.09347330000000001,0.32346149999999996,0.0782549,0.1015172,0.3168204,0.07139437,0.08410309,0.3155958,0.07548972,0.07153155,0.31658359999999997,0.1085271,0.09043612,0.34155630000000003,0.07324024,0.09248619,0.3293196,0.07160423,0.07079883,0.32559099999999996,0.07972217,0.05873869,0.32672470000000003,0.1062721,0.0818788,0.3583097,0.07385172,0.08467071,0.3463393,0.07303485,0.06436844,0.3393219,0.08132938,0.05249353,0.3387057,0.1011073,0.07187279,0.37209990000000004,0.07686985,0.07786588,0.3607178,0.07577004,0.06443639,0.35373309999999997,0.08251417,0.05297835,0.3522788,0.1079055,0.06916751,0.3400094,0.1234375,0.008531556,0.33479790000000004,0.1131747,0.02512054,0.3146676,0.23478949999999998,-0.1658579,0.2477015,0.1292595,0.008232172,0.3139087,0.1287507,-0.008608006999999999,0.34697740000000005,0.23504389999999997,-0.1574378,0.2311672,0.23453510000000002,-0.174278,0.2642359
